dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.034175777435302736,0.006214724633250258,0.004794263839721679,0.002534751586311817,gini,20,29,16,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 29, 'model__min_samples_split': 16}",0.902,0.894,0.891,0.884,0.886,0.8914,0.006374950980203697,121
0,0.028392314910888672,0.001495487845795624,0.004093599319458008,0.002321293713955182,gini,8,21,40,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 21, 'model__min_samples_split': 40}",0.904,0.889,0.885,0.887,0.889,0.8907999999999999,0.0067646138101151105,134
0,0.03133273124694824,0.0011394467148637146,0.0054417610168457035,0.0024873305027019654,entropy,19,23,12,"{'model__criterion': 'entropy', 'model__max_depth': 19, 'model__min_samples_leaf': 23, 'model__min_samples_split': 12}",0.889,0.898,0.895,0.89,0.874,0.8892,0.008280096617793787,151
0,0.02683115005493164,0.0039702504480164155,0.006344842910766602,0.003212326793234825,gini,24,53,37,"{'model__criterion': 'gini', 'model__max_depth': 24, 'model__min_samples_leaf': 53, 'model__min_samples_split': 37}",0.901,0.903,0.891,0.896,0.891,0.8964000000000001,0.004963869458396347,24
0,0.03402180671691894,0.0015515247511594743,0.007548999786376953,0.001565585510176354,entropy,24,3,23,"{'model__criterion': 'entropy', 'model__max_depth': 24, 'model__min_samples_leaf': 3, 'model__min_samples_split': 23}",0.887,0.89,0.872,0.881,0.87,0.8800000000000001,0.007924645102463587,200
0,0.018539810180664064,0.002065119517808851,0.006375503540039062,0.0036646780347337543,gini,2,24,45,"{'model__criterion': 'gini', 'model__max_depth': 2, 'model__min_samples_leaf': 24, 'model__min_samples_split': 45}",0.904,0.89,0.887,0.896,0.892,0.8938,0.005878775382679633,87
0,0.027898550033569336,0.0031454744163535303,0.007004404067993164,0.0019470477258904174,entropy,6,2,22,"{'model__criterion': 'entropy', 'model__max_depth': 6, 'model__min_samples_leaf': 2, 'model__min_samples_split': 22}",0.902,0.9,0.877,0.901,0.884,0.8928,0.010303397497913015,100
0,0.02882380485534668,0.0026157915899617462,0.006136369705200195,0.0014731161814760597,gini,12,58,23,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 58, 'model__min_samples_split': 23}",0.901,0.9,0.896,0.896,0.89,0.8966,0.0038781438859330666,18
0,0.03202862739562988,0.0006038756665059623,0.005616331100463867,0.0029567356046493274,gini,12,25,50,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 25, 'model__min_samples_split': 50}",0.893,0.894,0.894,0.886,0.89,0.8914,0.003072458299147446,121
0,0.032113170623779295,0.0029112331588353286,0.003804588317871094,0.0031859523459669575,gini,27,42,29,"{'model__criterion': 'gini', 'model__max_depth': 27, 'model__min_samples_leaf': 42, 'model__min_samples_split': 29}",0.896,0.904,0.895,0.891,0.873,0.8918000000000001,0.010303397497913015,110
0,0.031169366836547852,0.0016842160487326684,0.004619884490966797,0.001963663010300687,entropy,16,15,48,"{'model__criterion': 'entropy', 'model__max_depth': 16, 'model__min_samples_leaf': 15, 'model__min_samples_split': 48}",0.886,0.902,0.891,0.891,0.867,0.8874000000000001,0.011464728518373222,173
0,0.02711763381958008,0.003169233050933192,0.0068722724914550785,0.00042932656822715755,entropy,19,44,56,"{'model__criterion': 'entropy', 'model__max_depth': 19, 'model__min_samples_leaf': 44, 'model__min_samples_split': 56}",0.901,0.907,0.888,0.895,0.884,0.8950000000000001,0.008366600265340763,59
0,0.032210588455200195,0.0028620566130026035,0.006062936782836914,0.0035714375070859026,entropy,25,3,38,"{'model__criterion': 'entropy', 'model__max_depth': 25, 'model__min_samples_leaf': 3, 'model__min_samples_split': 38}",0.891,0.904,0.886,0.876,0.872,0.8858,0.011356055653262722,180
0,0.02942633628845215,0.0004624821940822772,0.00389714241027832,0.0018775865271968932,gini,7,21,10,"{'model__criterion': 'gini', 'model__max_depth': 7, 'model__min_samples_leaf': 21, 'model__min_samples_split': 10}",0.904,0.887,0.885,0.883,0.889,0.8896000000000001,0.007472616676907768,145
0,0.03826756477355957,0.0033588325564286817,0.003472042083740234,0.0030012828613024635,gini,18,4,26,"{'model__criterion': 'gini', 'model__max_depth': 18, 'model__min_samples_leaf': 4, 'model__min_samples_split': 26}",0.897,0.895,0.885,0.884,0.881,0.8884000000000001,0.006374950980203697,163
0,0.026407766342163085,0.0004987449848557877,0.003582668304443359,0.0029733277961457236,entropy,14,50,59,"{'model__criterion': 'entropy', 'model__max_depth': 14, 'model__min_samples_leaf': 50, 'model__min_samples_split': 59}",0.899,0.907,0.89,0.898,0.89,0.8968,0.0063686733312362685,10
0,0.028882312774658202,0.003649737865985509,0.005828094482421875,0.002863979534107118,gini,26,53,3,"{'model__criterion': 'gini', 'model__max_depth': 26, 'model__min_samples_leaf': 53, 'model__min_samples_split': 3}",0.901,0.903,0.891,0.896,0.891,0.8964000000000001,0.004963869458396347,24
0,0.02754654884338379,0.003020543128054007,0.007311725616455078,0.0013115842047778767,entropy,28,47,8,"{'model__criterion': 'entropy', 'model__max_depth': 28, 'model__min_samples_leaf': 47, 'model__min_samples_split': 8}",0.901,0.907,0.888,0.895,0.884,0.8950000000000001,0.008366600265340763,59
0,0.033310222625732425,0.000476847109690774,0.005803108215332031,0.002441013605424865,entropy,29,8,48,"{'model__criterion': 'entropy', 'model__max_depth': 29, 'model__min_samples_leaf': 8, 'model__min_samples_split': 48}",0.892,0.906,0.883,0.885,0.872,0.8876,0.011217842929904137,172
0,0.03391909599304199,0.001684061906422453,0.006960344314575195,0.0008179635396662608,gini,14,17,37,"{'model__criterion': 'gini', 'model__max_depth': 14, 'model__min_samples_leaf': 17, 'model__min_samples_split': 37}",0.902,0.893,0.883,0.886,0.886,0.89,0.006841052550594834,141
0,0.031390953063964847,0.0015475261216533124,0.0041522026062011715,0.0021207859569905116,entropy,8,4,3,"{'model__criterion': 'entropy', 'model__max_depth': 8, 'model__min_samples_leaf': 4, 'model__min_samples_split': 3}",0.894,0.902,0.88,0.886,0.89,0.8904,0.007418894796396569,138
0,0.025383567810058592,0.0005054216918171726,0.0063740253448486325,0.0017237074935602297,entropy,6,54,43,"{'model__criterion': 'entropy', 'model__max_depth': 6, 'model__min_samples_leaf': 54, 'model__min_samples_split': 43}",0.905,0.906,0.895,0.895,0.89,0.8981999999999999,0.0062417946137309,2
0,0.029453325271606445,0.003761138026068771,0.0039538383483886715,0.004358209249753022,entropy,22,29,19,"{'model__criterion': 'entropy', 'model__max_depth': 22, 'model__min_samples_leaf': 29, 'model__min_samples_split': 19}",0.896,0.898,0.885,0.892,0.872,0.8886000000000001,0.009414881836751864,160
0,0.02961869239807129,0.003733348647890425,0.005026817321777344,0.003517094496468489,entropy,12,34,11,"{'model__criterion': 'entropy', 'model__max_depth': 12, 'model__min_samples_leaf': 34, 'model__min_samples_split': 11}",0.898,0.895,0.888,0.887,0.894,0.8924,0.004223742416388579,105
