dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.6409177780151367,0.006158894885261108,0.04986424446105957,0.00041817407362126105,0.3745401188473625,861,16,1131,"{'model__max_features': 0.3745401188473625, 'model__min_samples_leaf': 861, 'model__min_samples_split': 16, 'model__n_estimators': 1131}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.13689074516296387,0.0014637970630781644,0.00930938720703125,0.00039576417265151304,0.7796910002727693,3093,40,122,"{'model__max_features': 0.7796910002727693, 'model__min_samples_leaf': 3093, 'model__min_samples_split': 40, 'model__n_estimators': 122}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.1018641471862793,0.00026209667468190016,0.008216428756713866,0.0005917572840628523,0.15599452033620265,4427,12,88,"{'model__max_features': 0.15599452033620265, 'model__min_samples_leaf': 4427, 'model__min_samples_split': 12, 'model__n_estimators': 88}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.14434523582458497,0.0005977858226851403,0.009972620010375976,0.0005844574860797155,0.33370861113902184,2920,25,131,"{'model__max_features': 0.33370861113902184, 'model__min_samples_leaf': 2920, 'model__min_samples_split': 25, 'model__n_estimators': 131}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.5959660530090332,0.040971364461161494,0.062200498580932614,0.005089196314127683,0.020584494295802447,770,25,1516,"{'model__max_features': 0.020584494295802447, 'model__min_samples_leaf': 770, 'model__min_samples_split': 25, 'model__n_estimators': 1516}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.1992189407348632,0.014381194386131346,0.04701175689697266,0.0004900634036142842,0.9385527090157502,2434,22,1185,"{'model__max_features': 0.9385527090157502, 'model__min_samples_leaf': 2434, 'model__min_samples_split': 22, 'model__n_estimators': 1185}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.8634471893310547,0.003730192689508727,0.03541722297668457,0.00027895897254981,0.3042422429595377,4118,45,857,"{'model__max_features': 0.3042422429595377, 'model__min_samples_leaf': 4118, 'model__min_samples_split': 45, 'model__n_estimators': 857}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.9983348369598388,0.017236556631921574,0.0648200511932373,0.0007918241323803395,0.2912291401980419,1083,43,1500,"{'model__max_features': 0.2912291401980419, 'model__min_samples_leaf': 1083, 'model__min_samples_split': 43, 'model__n_estimators': 1500}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.9607289791107178,0.005744229025054492,0.03894791603088379,0.0003291294902917152,0.9737555188414592,1807,48,958,"{'model__max_features': 0.9737555188414592, 'model__min_samples_leaf': 1807, 'model__min_samples_split': 48, 'model__n_estimators': 958}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.2475664615631104,0.011004004576758951,0.0458035945892334,0.0008995434904334688,0.19967378215835974,1268,58,1155,"{'model__max_features': 0.19967378215835974, 'model__min_samples_leaf': 1268, 'model__min_samples_split': 58, 'model__n_estimators': 1155}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.1945696830749513,0.02063797060605911,0.039937305450439456,0.0008004791279568016,0.8599404067363206,647,22,841,"{'model__max_features': 0.8599404067363206, 'model__min_samples_leaf': 647, 'model__min_samples_split': 22, 'model__n_estimators': 841}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.3331108093261719,0.008997936723826348,0.01651735305786133,0.0005910503117969448,0.06505159298527952,2436,26,316,"{'model__max_features': 0.06505159298527952, 'model__min_samples_leaf': 2436, 'model__min_samples_split': 26, 'model__n_estimators': 316}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.486811065673828,0.05992569055761722,0.054914093017578124,0.0007996988569317788,0.5632882178455393,2042,10,1370,"{'model__max_features': 0.5632882178455393, 'model__min_samples_leaf': 2042, 'model__min_samples_split': 10, 'model__n_estimators': 1370}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
