dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.4303367137908936,0.08563806388119838,0.09352674484252929,0.0028848402266598025,0.3745401188473625,0.9556428757689246,3773,1045,"{'model__max_features': 0.3745401188473625, 'model__max_samples': 0.9556428757689246, 'model__min_samples_leaf': 3773, 'model__n_estimators': 1045}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.906767749786377,0.8493718800989206,0.14827923774719237,0.03176862178344284,0.15601864044243652,0.2403950683025824,4427,1483,"{'model__max_features': 0.15601864044243652, 'model__max_samples': 0.2403950683025824, 'model__min_samples_leaf': 4427, 'model__n_estimators': 1483}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,16.546818923950195,2.2087173641547966,0.2509948253631592,0.03323997265718526,0.8661761457749352,0.6410035105688879,131,1686,"{'model__max_features': 0.8661761457749352, 'model__max_samples': 0.6410035105688879, 'model__min_samples_leaf': 131, 'model__n_estimators': 1686}",0.8803805983873935,0.8673810146063826,0.8733242345926376,0.8336479174531269,0.860106861805616,0.8629681253690313,0.016110730757472016,2
0,3.2036144733428955,0.6410139806034232,0.13575420379638672,0.04921829069002813,0.056411579027100256,0.7497988950401423,2434,1216,"{'model__max_features': 0.056411579027100256, 'model__max_samples': 0.7497988950401423, 'model__min_samples_leaf': 2434, 'model__n_estimators': 1216}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,0.0955498218536377,0.007481319527673587,0.016688966751098634,0.0032957350815417796,0.9922115592912175,0.6557333586649449,3386,22,"{'model__max_features': 0.9922115592912175, 'model__max_samples': 0.6557333586649449, 'model__min_samples_leaf': 3386, 'model__n_estimators': 22}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,2.523810529708862,0.19723918338130203,0.10425605773925781,0.009706435781015882,0.007066305219717406,0.12075618253727419,475,1083,"{'model__max_features': 0.007066305219717406, 'model__max_samples': 0.12075618253727419, 'model__min_samples_leaf': 475, 'model__n_estimators': 1083}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,2.9846053600311278,0.7978824026193705,0.11010885238647461,0.02125185146239549,0.3998609717152555,0.1419990968922539,2748,976,"{'model__max_features': 0.3998609717152555, 'model__max_samples': 0.1419990968922539, 'model__min_samples_leaf': 2748, 'model__n_estimators': 976}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,1.3814853191375733,0.14611949977880706,0.06688857078552246,0.008288231652848388,0.23277134043030423,0.18154579107953872,3006,563,"{'model__max_features': 0.23277134043030423, 'model__max_samples': 0.18154579107953872, 'model__min_samples_leaf': 3006, 'model__n_estimators': 563}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.0626190662384034,0.177682351917759,0.09820041656494141,0.004798846097265504,0.38246199126716274,0.9849077972261093,1529,1155,"{'model__max_features': 0.38246199126716274, 'model__max_samples': 0.9849077972261093, 'model__min_samples_leaf': 1529, 'model__n_estimators': 1155}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,0.4869894027709961,0.14250339526231867,0.039328718185424806,0.030735701004430495,0.8599404067363206,0.7122767847290017,2889,167,"{'model__max_features': 0.8599404067363206, 'model__max_samples': 0.7122767847290017, 'model__min_samples_leaf': 2889, 'model__n_estimators': 167}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,0.7868029594421386,0.056474185065696354,0.041255855560302736,0.0041538523169574034,0.013264961159866528,0.9479815801163675,2062,242,"{'model__max_features': 0.013264961159866528, 'model__max_samples': 0.9479815801163675, 'model__min_samples_leaf': 2062, 'model__n_estimators': 242}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,0.33911776542663574,0.13187608402720521,0.02536740303039551,0.0047267369292086445,0.3854165025399161,0.11436962699819278,1364,92,"{'model__max_features': 0.3854165025399161, 'model__max_samples': 0.11436962699819278, 'model__min_samples_leaf': 1364, 'model__n_estimators': 92}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,2.6598721027374266,0.6005504463977195,0.10771589279174805,0.03429845198682679,0.4401524937396013,0.20983441136030095,2557,776,"{'model__max_features': 0.4401524937396013, 'model__max_samples': 0.20983441136030095, 'model__min_samples_leaf': 2557, 'model__n_estimators': 776}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,4.410650777816772,0.8578396319849659,0.21248793601989746,0.08102905931468231,0.034388521115218396,0.9183883618709039,1956,1586,"{'model__max_features': 0.034388521115218396, 'model__max_samples': 0.9183883618709039, 'model__min_samples_leaf': 1956, 'model__n_estimators': 1586}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,1.4119084835052491,0.09602988943209306,0.05565104484558105,0.0034380410795908515,0.662522284353982,0.3805399684804699,3462,566,"{'model__max_features': 0.662522284353982, 'model__max_samples': 0.3805399684804699, 'model__min_samples_leaf': 3462, 'model__n_estimators': 566}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,1.1974331855773925,0.296579697747435,0.06630034446716308,0.018483087154996154,0.5467102793432796,0.26636900997297436,4799,402,"{'model__max_features': 0.5467102793432796, 'model__max_samples': 0.26636900997297436, 'model__min_samples_leaf': 4799, 'model__n_estimators': 402}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.0786012172698975,1.00001975654293,0.1151698112487793,0.010764852106192654,0.7751328233611146,0.9455490474077702,1982,996,"{'model__max_features': 0.7751328233611146, 'model__max_samples': 0.9455490474077702, 'model__min_samples_leaf': 1982, 'model__n_estimators': 996}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,4.176212406158447,0.4527676010625258,0.14994397163391113,0.028869628422907363,0.5978999788110851,0.9296868115208051,4552,1486,"{'model__max_features': 0.5978999788110851, 'model__max_samples': 0.9296868115208051, 'model__min_samples_leaf': 4552, 'model__n_estimators': 1486}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.022563123703003,0.7370819402094934,0.12921037673950195,0.04029996723234005,0.1959828624191452,0.14070456001948428,338,879,"{'model__max_features': 0.1959828624191452, 'model__max_samples': 0.14070456001948428, 'model__min_samples_leaf': 338, 'model__n_estimators': 879}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,0.5098752498626709,0.093305574719646,0.032259368896484376,0.007186429291582805,0.8287375091519293,0.4210779940242304,4860,188,"{'model__max_features': 0.8287375091519293, 'model__max_samples': 0.4210779940242304, 'model__min_samples_leaf': 4860, 'model__n_estimators': 188}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,4.365261602401733,0.2127394505591982,0.14546427726745606,0.0049923874636917,0.5426960831582485,0.2268318024772864,2063,1837,"{'model__max_features': 0.5426960831582485, 'model__max_samples': 0.2268318024772864, 'model__min_samples_leaf': 2063, 'model__n_estimators': 1837}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,2.0347338676452638,0.6919980464135734,0.07661967277526856,0.020376037808247094,0.07455064367977082,0.9881982429404655,2028,648,"{'model__max_features': 0.07455064367977082, 'model__max_samples': 0.9881982429404655, 'model__min_samples_leaf': 2028, 'model__n_estimators': 648}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,5.215999412536621,1.0648887078227611,0.1829385757446289,0.02850488708208043,0.005522117123602399,0.8339152856093507,392,1699,"{'model__max_features': 0.005522117123602399, 'model__max_samples': 0.8339152856093507, 'model__min_samples_leaf': 392, 'model__n_estimators': 1699}",0.8132531869791213,0.833318814066266,0.8346545866364666,0.8064484904802005,0.8427466581486966,0.8260843472621502,0.013810319784298107,10
0,0.6289190292358399,0.08983052505120118,0.030047035217285155,0.0019007800460113646,0.7901755405312056,0.6453639773029103,3562,231,"{'model__max_features': 0.7901755405312056, 'model__max_samples': 0.6453639773029103, 'model__min_samples_leaf': 3562, 'model__n_estimators': 231}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,16.41525492668152,2.2755648410077356,0.3004638671875,0.12645383660264842,0.6510770255019445,0.9234637079894027,201,1864,"{'model__max_features': 0.6510770255019445, 'model__max_samples': 0.9234637079894027, 'model__min_samples_leaf': 201, 'model__n_estimators': 1864}",0.8714560888966325,0.8600729835157921,0.8662097937296126,0.8302310499365992,0.8500062916823958,0.8555952415522065,0.014552415239148558,4
0,1.0328795909881592,0.32390691394427734,0.04643340110778808,0.009498164478079716,0.4494506741382034,0.1858691048413702,4599,407,"{'model__max_features': 0.4494506741382034, 'model__max_samples': 0.1858691048413702, 'model__min_samples_leaf': 4599, 'model__n_estimators': 407}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,4.3763830184936525,0.17137660404946412,0.20949058532714843,0.04369649033220512,0.6688412526636073,0.699330120955747,2732,1896,"{'model__max_features': 0.6688412526636073, 'model__max_samples': 0.699330120955747, 'model__min_samples_leaf': 2732, 'model__n_estimators': 1896}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,7.371842336654663,1.3821351885940245,0.2757347583770752,0.011126911061658107,0.27472179299006416,0.6051190832629311,2691,1793,"{'model__max_features': 0.27472179299006416, 'model__max_samples': 0.6051190832629311, 'model__min_samples_leaf': 2691, 'model__n_estimators': 1793}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,2.46347599029541,0.17649477741607283,0.09908223152160645,0.01937701138171011,0.7217295211648732,0.31238642777406017,4494,871,"{'model__max_features': 0.7217295211648732, 'model__max_samples': 0.31238642777406017, 'model__min_samples_leaf': 4494, 'model__n_estimators': 871}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,4.541785001754761,0.35276787193368286,0.16263384819030763,0.020937445268250962,0.04043358953843135,0.7395966007172087,1485,1715,"{'model__max_features': 0.04043358953843135, 'model__max_samples': 0.7395966007172087, 'model__min_samples_leaf': 1485, 'model__n_estimators': 1715}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.1953596115112304,0.7387154990407767,0.12772274017333984,0.049687296115997696,0.03142918568673425,0.6727693701374023,564,1021,"{'model__max_features': 0.03142918568673425, 'model__max_samples': 0.6727693701374023, 'model__min_samples_leaf': 564, 'model__n_estimators': 1021}",0.7654654393046239,0.8212436236218796,0.8283532247292157,0.8079439749881426,0.8337495523225987,0.8113511629932921,0.024518267857427258,15
