dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,params_str
0,0.08414349555969239,0.006159454271037036,0.0158935546875,0.0034701505326693474,gini,17,39,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 39, 'model__min_samples_split': 58}",0.7972920885493373,0.8108460281664212,0.7987936073269515,0.8265228046759941,0.8269620071684587,0.8120833071774325,0.01285925294412553,18,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 39, 'model__min_samples_split': 58}"
0,0.08290119171142578,0.002799131837695502,0.01953468322753906,0.004657253647334566,gini,17,52,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 52, 'model__min_samples_split': 58}",0.7975480946244478,0.8063098306332843,0.7955431931148749,0.8286830357142857,0.8204215053763442,0.8097011318926473,0.012921946833453834,59,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 52, 'model__min_samples_split': 58}"
0,0.11852083206176758,0.006651965363935003,0.01694355010986328,0.003846235977577254,gini,17,29,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 29, 'model__min_samples_split': 58}",0.7935555504418264,0.7982643363402062,0.8009279501104565,0.8137829068483063,0.8257032258064516,0.8064467939094495,0.011732204646589065,119,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 29, 'model__min_samples_split': 58}"
0,0.11136188507080078,0.003045182855135438,0.012652111053466798,0.002128412827376556,gini,17,15,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 15, 'model__min_samples_split': 58}",0.7849318851251841,0.8015521446980854,0.7984369247054492,0.8259302512886597,0.8087741935483872,0.8039250798731532,0.013447926142608885,147,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 15, 'model__min_samples_split': 58}"
0,0.10235395431518554,0.007218510498561041,0.014423847198486328,0.0034917419444134667,gini,17,43,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 43, 'model__min_samples_split': 58}",0.8016614506627393,0.8104404455081002,0.7968030881811488,0.8294107833210604,0.8248458781362007,0.8126323291618499,0.012699737804699164,13,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 43, 'model__min_samples_split': 58}"
0,0.12908563613891602,0.007449023519851449,0.014967775344848633,0.0032968845247215235,gini,17,8,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 8, 'model__min_samples_split': 58}",0.7801454344624448,0.7997687315905744,0.7905237481590575,0.7934721327319587,0.801247311827957,0.7930314717543985,0.0075554419464626404,178,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 8, 'model__min_samples_split': 58}"
0,0.12839245796203613,0.02185030219704911,0.022346353530883788,0.004293111841323073,gini,17,21,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 21, 'model__min_samples_split': 58}",0.7891257824005891,0.7977552006627393,0.7981579068483062,0.8292813420471281,0.8304430107526881,0.8089526485422903,0.017378753440933373,78,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 21, 'model__min_samples_split': 58}"
0,0.09874439239501953,0.00796950196152739,0.011284780502319337,0.0007186498600957294,gini,17,39,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 39, 'model__min_samples_split': 58}",0.7955719578424153,0.8107827457658321,0.7987936073269515,0.8274777936303388,0.8269964157706093,0.8119245040672294,0.013492198989680976,22,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 39, 'model__min_samples_split': 58}"
0,0.08890061378479004,0.009895982759721058,0.012390804290771485,0.0022929080020334977,gini,17,58,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 58, 'model__min_samples_split': 58}",0.7883635171207658,0.8120138761045657,0.8007697441089838,0.8337743924889542,0.8204100358422939,0.8110663131331126,0.015654367940795427,30,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 58, 'model__min_samples_split': 58}"
0,0.12605676651000977,0.01819044548224542,0.013460636138916016,0.0014885606123716407,gini,17,19,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 19, 'model__min_samples_split': 58}",0.7905323775773196,0.8020957980486009,0.7985721189248896,0.8289131535346097,0.8263856630824373,0.8092998222335714,0.015464845837571616,68,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 19, 'model__min_samples_split': 58}"
0,0.11463432312011719,0.006273642334200662,0.012210845947265625,0.0013306883646144632,gini,17,23,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 23, 'model__min_samples_split': 58}",0.797732188880707,0.7909264543446246,0.7951922634388807,0.8206548002577321,0.826104659498208,0.8061220732840304,0.014361487691761501,128,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 23, 'model__min_samples_split': 58}"
0,0.12409839630126954,0.0042100378943404895,0.015088367462158202,0.0019232937012761016,gini,17,11,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 11, 'model__min_samples_split': 58}",0.7904777245949927,0.8012184738586156,0.7870633514359352,0.8061142304860089,0.7974652329749103,0.7964678026700925,0.006941787261556682,165,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 11, 'model__min_samples_split': 58}"
