dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.4242306232452393,0.018051145996895206,0.029302072525024415,0.0011172541315641387,0.410104548749355,0.8638628715886625,233,226,"OrderedDict([('model__max_features', 0.410104548749355), ('model__max_samples', 0.8638628715886625), ('model__min_samples_leaf', 233), ('model__n_estimators', 226)])",0.812,0.817,0.806,0.812,0.828,0.8150000000000001,0.007375635565834271,45
0,9.91746096611023,0.07596756375369244,0.058881187438964845,0.006624882284746538,0.8373885181649289,0.9416576386904312,77,480,"OrderedDict([('model__max_features', 0.8373885181649289), ('model__max_samples', 0.9416576386904312), ('model__min_samples_leaf', 77), ('model__n_estimators', 480)])",0.821,0.83,0.819,0.842,0.84,0.8304,0.009436100889668368,33
0,5.692528438568115,0.09145930040305167,0.03727941513061524,0.0033909133097898567,0.4448330674686395,0.9593612608346885,27,273,"OrderedDict([('model__max_features', 0.4448330674686395), ('model__max_samples', 0.9593612608346885), ('model__min_samples_leaf', 27), ('model__n_estimators', 273)])",0.834,0.835,0.82,0.848,0.845,0.8363999999999999,0.00985088828481981,31
0,4.13532829284668,0.01872027468665921,0.048913192749023435,0.003445670224975744,0.812396175961375,0.5859357806982803,150,421,"OrderedDict([('model__max_features', 0.812396175961375), ('model__max_samples', 0.5859357806982803), ('model__min_samples_leaf', 150), ('model__n_estimators', 421)])",0.811,0.818,0.812,0.834,0.837,0.8224,0.01100181803158002,39
0,4.753338956832886,0.04641703802435123,0.043432188034057614,0.002413485047939206,0.7995536420537315,0.7190145932204617,132,386,"OrderedDict([('model__max_features', 0.7995536420537315), ('model__max_samples', 0.7190145932204617), ('model__min_samples_leaf', 132), ('model__n_estimators', 386)])",0.813,0.819,0.815,0.834,0.839,0.8240000000000001,0.010507140429250968,38
0,4.436887550354004,0.040144827464431564,0.028514671325683593,0.004618915794675309,0.7340282839575504,0.9696848688013859,42,175,"OrderedDict([('model__max_features', 0.7340282839575504), ('model__max_samples', 0.9696848688013859), ('model__min_samples_leaf', 42), ('model__n_estimators', 175)])",0.83,0.837,0.82,0.846,0.841,0.8347999999999999,0.009064215354899737,32
0,6.545737981796265,0.04986930132850321,0.06011786460876465,0.011086868174781512,0.6170797414229579,0.8876821894139413,90,450,"OrderedDict([('model__max_features', 0.6170797414229579), ('model__max_samples', 0.8876821894139413), ('model__min_samples_leaf', 90), ('model__n_estimators', 450)])",0.82,0.831,0.813,0.838,0.841,0.8286,0.01063202708800162,35
0,5.14205265045166,0.043672129182344116,0.056687355041503906,0.007486792895616648,0.5434035242872449,0.9600046132186582,125,435,"OrderedDict([('model__max_features', 0.5434035242872449), ('model__max_samples', 0.9600046132186582), ('model__min_samples_leaf', 125), ('model__n_estimators', 435)])",0.819,0.827,0.815,0.84,0.842,0.8286,0.01085541339608954,35
0,3.5738646507263185,0.03908699996746027,0.03390316963195801,0.0006426724716206675,0.955478030831942,0.8503107223106829,218,266,"OrderedDict([('model__max_features', 0.955478030831942), ('model__max_samples', 0.8503107223106829), ('model__min_samples_leaf', 218), ('model__n_estimators', 266)])",0.802,0.816,0.811,0.832,0.834,0.819,0.012296340919151485,42
0,0.2945568084716797,0.013914126605825135,0.021774435043334962,0.0005138735717549615,0.003631303624435972,0.9089150098318758,186,202,"OrderedDict([('model__max_features', 0.003631303624435972), ('model__max_samples', 0.9089150098318758), ('model__min_samples_leaf', 186), ('model__n_estimators', 202)])",0.776,0.776,0.776,0.776,0.775,0.7758,0.00040000000000000034,50
0,10.23621301651001,0.20982408366000546,0.031156158447265624,0.00609488632269371,1.0,0.5,1,100,"OrderedDict([('model__max_features', 1.0), ('model__max_samples', 0.5), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.839,0.843,0.827,0.857,0.843,0.8417999999999999,0.009600000000000008,20
0,17.59343800544739,0.2527536226954873,0.09807415008544922,0.00976558716890525,0.2388572833705859,0.6466123135207189,1,500,"OrderedDict([('model__max_features', 0.2388572833705859), ('model__max_samples', 0.6466123135207189), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.846,0.843,0.826,0.857,0.851,0.8446,0.010442221985765299,1
0,1.588349962234497,0.03180832823413571,0.0764697551727295,0.006798531746283808,1e-06,0.6822888746806199,1,128,"OrderedDict([('model__max_features', 1e-06), ('model__max_samples', 0.6822888746806199), ('model__min_samples_leaf', 1), ('model__n_estimators', 128)])",0.832,0.816,0.808,0.813,0.826,0.819,0.008763560920082639,42
0,1.1528046607971192,0.028210327231671193,0.025333261489868163,0.0028016792849457697,0.2742066391464156,0.6726369536503195,76,152,"OrderedDict([('model__max_features', 0.2742066391464156), ('model__max_samples', 0.6726369536503195), ('model__min_samples_leaf', 76), ('model__n_estimators', 152)])",0.826,0.828,0.821,0.821,0.837,0.8265999999999998,0.00588557558782487,37
0,33.31322951316834,0.6011389484585363,0.07088046073913574,0.007554117170169911,0.852355697875799,0.5221564436855257,1,388,"OrderedDict([('model__max_features', 0.852355697875799), ('model__max_samples', 0.5221564436855257), ('model__min_samples_leaf', 1), ('model__n_estimators', 388)])",0.839,0.841,0.823,0.857,0.848,0.8416,0.011235657524150521,24
0,1.786584234237671,0.021864313371486623,0.033693790435791016,0.003100444792717885,0.6677999790277461,0.6190776552087857,250,277,"OrderedDict([('model__max_features', 0.6677999790277461), ('model__max_samples', 0.6190776552087857), ('model__min_samples_leaf', 250), ('model__n_estimators', 277)])",0.802,0.814,0.811,0.832,0.83,0.8177999999999999,0.011496086290559898,44
0,3.2230451583862303,0.051723500076789934,0.02431960105895996,0.0024511160047301643,0.3135866004297161,0.5,1,100,"OrderedDict([('model__max_features', 0.3135866004297161), ('model__max_samples', 0.5), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.842,0.841,0.827,0.854,0.845,0.8417999999999999,0.008704022058795585,20
0,30.9291259765625,0.5209918602894997,0.082328462600708,0.010097885762535968,0.6349003498822408,0.5232034124357835,1,478,"OrderedDict([('model__max_features', 0.6349003498822408), ('model__max_samples', 0.5232034124357835), ('model__min_samples_leaf', 1), ('model__n_estimators', 478)])",0.838,0.843,0.827,0.855,0.847,0.842,0.00933809402394301,15
0,3.874759578704834,0.046468196347780065,0.029646873474121094,0.0021303256950292834,0.9994437128592591,0.6847357452616643,83,204,"OrderedDict([('model__max_features', 0.9994437128592591), ('model__max_samples', 0.6847357452616643), ('model__min_samples_leaf', 83), ('model__n_estimators', 204)])",0.819,0.831,0.816,0.84,0.839,0.829,0.009939818911831351,34
0,31.21208324432373,0.5142024124420341,0.09510998725891114,0.011023363254507066,0.3263431698697539,1.0,1,500,"OrderedDict([('model__max_features', 0.3263431698697539), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.841,0.844,0.829,0.859,0.848,0.8442000000000001,0.009744742172063874,4
0,42.54208278656006,0.566661625458239,0.07284255027770996,0.0036605367642880606,0.9971465678640922,0.8573427811870533,2,460,"OrderedDict([('model__max_features', 0.9971465678640922), ('model__max_samples', 0.8573427811870533), ('model__min_samples_leaf', 2), ('model__n_estimators', 460)])",0.84,0.843,0.826,0.857,0.844,0.842,0.009899494936611674,15
0,1.4646451950073243,0.033166257847993506,0.05064129829406738,0.00606419674180281,0.16507553668069466,0.8274274895836016,249,433,"OrderedDict([('model__max_features', 0.16507553668069466), ('model__max_samples', 0.8274274895836016), ('model__min_samples_leaf', 249), ('model__n_estimators', 433)])",0.777,0.777,0.784,0.776,0.777,0.7782,0.0029257477676655616,49
0,10.442425012588501,0.09542037037686298,0.05848274230957031,0.005672612190068214,0.1630208773248285,0.9922140736649441,1,287,"OrderedDict([('model__max_features', 0.1630208773248285), ('model__max_samples', 0.9922140736649441), ('model__min_samples_leaf', 1), ('model__n_estimators', 287)])",0.839,0.848,0.829,0.858,0.849,0.8446,0.009850888284819809,1
0,4.803158378601074,0.09948984978031672,0.02646474838256836,0.0033389736137008222,0.23403536449600382,1.0,1,100,"OrderedDict([('model__max_features', 0.23403536449600382), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.839,0.846,0.826,0.86,0.846,0.8433999999999999,0.011056219968868212,8
0,30.931131601333618,0.4519957170961944,0.06385397911071777,0.0070931066416221634,0.5196694762339364,0.9606873343770497,1,327,"OrderedDict([('model__max_features', 0.5196694762339364), ('model__max_samples', 0.9606873343770497), ('model__min_samples_leaf', 1), ('model__n_estimators', 327)])",0.844,0.841,0.827,0.856,0.84,0.8416,0.009264987857520383,24
0,12.896707725524902,0.2127845884667212,0.03083667755126953,0.00413096782472516,0.9353664419556359,0.7827762474687807,2,157,"OrderedDict([('model__max_features', 0.9353664419556359), ('model__max_samples', 0.7827762474687807), ('model__min_samples_leaf', 2), ('model__n_estimators', 157)])",0.838,0.836,0.83,0.859,0.846,0.8417999999999999,0.010007996802557453,20
