dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.203449821472168,0.03009845513690097,0.02725071907043457,0.002533394466588904,0.011233621690895234,0.07622304262913658,18,6,"OrderedDict([('model__alpha', 0.011233621690895234), ('model__eta', 0.07622304262913658), ('model__max_depth', 18), ('model__min_child_weight', 6)])",0.835,0.826,0.82,0.848,0.841,0.834,0.010059821071967442,37
0,0.3129401206970215,0.008661069724079151,0.01668105125427246,0.0014831623836456798,1.537948446580078,0.09038169024165847,6,18,"OrderedDict([('model__alpha', 1.537948446580078), ('model__eta', 0.09038169024165847), ('model__max_depth', 6), ('model__min_child_weight', 18)])",0.834,0.839,0.829,0.84,0.846,0.8375999999999999,0.005748043145279971,21
0,0.15815024375915526,0.009616831690229298,0.014049339294433593,0.0016184143084602277,0.016755699440936588,0.09360374947191331,3,8,"OrderedDict([('model__alpha', 0.016755699440936588), ('model__eta', 0.09360374947191331), ('model__max_depth', 3), ('model__min_child_weight', 8)])",0.828,0.84,0.825,0.847,0.847,0.8373999999999999,0.009308061022576085,25
0,0.7249501705169678,0.01145086671900309,0.021517467498779298,0.0019335928585641666,1.1533999859559563,0.025640312087087024,12,15,"OrderedDict([('model__alpha', 1.1533999859559563), ('model__eta', 0.025640312087087024), ('model__max_depth', 12), ('model__min_child_weight', 15)])",0.832,0.837,0.822,0.851,0.839,0.8362,0.009453041838477188,30
0,0.5750400066375733,0.014834441434787838,0.022392988204956055,0.003007042141427483,0.9948719998234101,0.04986065596612403,10,14,"OrderedDict([('model__alpha', 0.9948719998234101), ('model__eta', 0.04986065596612403), ('model__max_depth', 10), ('model__min_child_weight', 14)])",0.839,0.843,0.828,0.851,0.844,0.841,0.0075630681604756216,5
0,0.24215126037597656,0.010910620852849039,0.014270401000976563,0.0005194006087350199,0.4678860424711244,0.09548264612185224,4,4,"OrderedDict([('model__alpha', 0.4678860424711244), ('model__eta', 0.09548264612185224), ('model__max_depth', 4), ('model__min_child_weight', 4)])",0.833,0.833,0.829,0.85,0.853,0.8396000000000001,0.009871170143402462,10
0,0.36876893043518066,0.014538008586379929,0.019475650787353516,0.00316838969049797,0.12172976749510152,0.08055815847333732,7,17,"OrderedDict([('model__alpha', 0.12172976749510152), ('model__eta', 0.08055815847333732), ('model__max_depth', 7), ('model__min_child_weight', 17)])",0.837,0.836,0.83,0.846,0.843,0.8384,0.005607138307550479,17
0,0.4870290279388428,0.018148962145645892,0.021508026123046874,0.0023731949406286855,0.05212131190318165,0.0937208396057958,10,16,"OrderedDict([('model__alpha', 0.05212131190318165), ('model__eta', 0.0937208396057958), ('model__max_depth', 10), ('model__min_child_weight', 16)])",0.831,0.831,0.836,0.842,0.842,0.8363999999999999,0.004923413450036473,28
0,0.814650583267212,0.027392146923321335,0.027978181838989258,0.008027396333671262,5.9894912052679325,0.07375655146054431,17,8,"OrderedDict([('model__alpha', 5.9894912052679325), ('model__eta', 0.07375655146054431), ('model__max_depth', 17), ('model__min_child_weight', 8)])",0.834,0.837,0.829,0.845,0.848,0.8385999999999999,0.007002856560004645,14
0,1.1992774963378907,0.025904148392587256,0.027372169494628906,0.0029634064760346184,0.00010426811836320536,0.0844225317894014,14,5,"OrderedDict([('model__alpha', 0.00010426811836320536), ('model__eta', 0.0844225317894014), ('model__max_depth', 14), ('model__min_child_weight', 5)])",0.833,0.828,0.816,0.843,0.848,0.8336,0.011288932633336078,41
